,Team,Spread
1,Ravens,+3
2,Chiefs,-3
5,Packers,+1.5
6,Eagles,-1.5
9,Jaguars,+3.5
10,Dolphins,-3.5
13,Steelers,+4.0
14,Falcons,-4.0
17,Vikings,-1.0
18,Giants,+1.0
21,Panthers,+3.5
22,Saints,-3.5
25,Patriots,+7.5
26,Bengals,-7.5
29,Titans,+4.0
30,Bears,-4.0
33,Cardinals,+6.5
34,Bills,-6.5
37,Texans,-3.0
38,Colts,+3.0
41,Raiders,+3.0
42,Chargers,-3.0
45,Broncos,+6.5
46,Seahawks,-6.5
49,Commanders,+4.0
50,Buccaneers,-4.0
53,Cowboys,+2.0
54,Browns,-2.0
57,Rams,+5.0
58,Lions,-5.0
61,Jets,+3.5
62,49ers,-3.5
