spread_line,result,normalized_modeled_prob
-19.0,-75,0.0000015
-19.0,-74,0.0000020
-19.0,-73,0.0000026
-19.0,-72,0.0000035
-19.0,-71,0.0000046
-19.0,-70,0.0000061
-19.0,-69,0.0000080
-19.0,-68,0.0000104
-19.0,-67,0.0000135
-19.0,-66,0.0000174
-19.0,-65,0.0000222
-19.0,-64,0.0000283
-19.0,-63,0.0000359
-19.0,-62,0.0000453
-19.0,-61,0.0000568
-19.0,-60,0.0000708
-19.0,-59,0.0000879
-19.0,-58,0.0001085
-19.0,-57,0.0001332
-19.0,-56,0.0001626
-19.0,-55,0.0001975
-19.0,-54,0.0002386
-19.0,-53,0.0002868
-19.0,-52,0.0003428
-19.0,-51,0.0004076
-19.0,-50,0.0004821
-19.0,-49,0.0005672
-19.0,-48,0.0006637
-19.0,-47,0.0007725
-19.0,-46,0.0008975
-19.0,-45,0.0013004
-19.0,-44,0.0051764
-19.0,-43,0.0114471
-19.0,-42,0.0100338
-19.0,-41,0.0130750
-19.0,-40,0.0068177
-19.0,-39,0.0079372
-19.0,-38,0.0158390
-19.0,-37,0.0081191
-19.0,-36,0.0037497
-19.0,-35,0.0104011
-19.0,-34,0.0212038
-19.0,-33,0.0115601
-19.0,-32,0.0135735
-19.0,-31,0.0266086
-19.0,-30,0.0144197
-19.0,-29,0.0171268
-19.0,-28,0.0338177
-19.0,-27,0.0170045
-19.0,-26,0.0074521
-19.0,-25,0.0231642
-19.0,-24,0.0487635
-19.0,-23,0.0252297
-19.0,-22,0.0333331
-19.0,-21,0.0701223
-19.0,-20,0.0323000
-19.0,-19,0.0094934
-19.0,-18,0.0305469
-19.0,-17,0.0663163
-19.0,-16,0.0315239
-19.0,-15,0.0238604
-19.0,-14,0.0461168
-19.0,-13,0.0219069
-19.0,-12,0.0070477
-19.0,-11,0.0160816
-19.0,-10,0.0319822
-19.0,-9,0.0161972
-19.0,-8,0.0136371
-19.0,-7,0.0251591
-19.0,-6,0.0123778
-19.0,-5,0.0045139
-19.0,-4,0.0096191
-19.0,-3,0.0186196
-19.0,-2,0.0091048
-19.0,-1,0.0029197
-19.0,0,0.0007870
-19.0,1,0.0023680
-19.0,2,0.0062034
-19.0,3,0.0123000
-19.0,4,0.0057969
-19.0,5,0.0018102
-19.0,6,0.0045201
-19.0,7,0.0092881
-19.0,8,0.0044252
-19.0,9,0.0038060
-19.0,10,0.0075989
-19.0,11,0.0033771
-19.0,12,0.0008040
-19.0,13,0.0026640
-19.0,14,0.0059048
-19.0,15,0.0026757
-19.0,16,0.0023205
-19.0,17,0.0049482
-19.0,18,0.0020944
