Team,EPA,Wins
SF,-18.740880286151093,6
DET,-173.74206426508115,5
BAL,193.3484840801509,12
LA,99.31788003151644,11
MIN,-64.86685184449505,7
KC,122.53801734987356,16
JAX,-216.7560434020833,1
CIN,-134.67254497288113,4
CAR,-59.73685860078981,5
NE,-28.913875780865933,7
BUF,152.95640362235602,15
WAS,-15.320339103336181,7
NYG,-82.80691222041919,6
ATL,-9.42170296175432,4
NO,159.3053762319271,13
DEN,-137.8113076720063,5
DAL,-92.29580949374176,6
HOU,-89.88508861349547,4
MIA,83.21659329989558,10
TB,218.03961885879366,15
CLE,-2.687993606557299,12
PIT,105.10434391498326,12
GB,174.34971920213775,14
TEN,43.46279446485633,11
LAC,-54.35709282864503,7
PHI,-106.43621782966798,5
IND,114.8296486436958,11
SEA,84.3066228580658,12
LV,-52.69955075511538,8
CHI,-17.070308339761702,8
NYJ,-246.17234102663028,2
ARI,53.61828104522611,8
TEN,59.05527544246484,12
LV,-82.23350752514571,10
LA,153.91222537280868,16
KC,164.91058550977218,14
TB,200.72657332819517,14
NYG,-174.42599332119593,4
NO,32.733900334193834,9
HOU,-203.04889385508017,4
WAS,-115.5559312933286,7
NE,147.2355571213591,10
CIN,104.44819029143198,13
CAR,-114.91923798695254,5
ATL,-170.68971149330412,7
BUF,253.97566204648348,12
IND,97.82288370738755,9
DET,-169.95333648030302,3
MIA,-37.9004393436922,9
CHI,-112.9945648667533,6
LAC,17.9091205118161,9
JAX,-244.615967903418,3
GB,99.68077664249418,13
CLE,-37.11735904943784,8
BAL,-13.797158212698346,8
PIT,-74.19128588103672,10
ARI,80.90527739881847,11
NYJ,-237.88532052528836,4
PHI,50.885600167498,9
SEA,27.149151807423394,7
SF,83.22991402149935,12
DEN,12.513054289644014,7
DAL,191.47008474774788,12
MIN,10.764874996596568,8
NYJ,-37.13995918439167,7
LA,-95.93169307476842,5
CAR,-23.688483238511573,7
SEA,-7.357853106417387,9
MIN,-36.95799396775108,13
HOU,-146.13616466503373,4
WAS,-25.75038478779306,9
ARI,-131.1845195285726,4
LAC,0.889835225299592,10
MIA,8.454148365026914,9
ATL,-29.640664474562726,7
TEN,-73.78997314185597,7
DET,23.391008177499977,9
CIN,141.93140360754433,14
CHI,-156.0624069708248,3
DAL,161.7386923128465,13
LV,-23.458332677463616,6
NYG,-41.69569353848682,10
GB,-5.127216174619895,8
DEN,-90.30557665190634,5
JAX,58.27676423198681,10
KC,172.54561514610268,17
BAL,48.22865346023594,10
PHI,208.96379398713015,16
PIT,-40.42112170021791,9
CLE,-19.754484531452622,7
SF,206.6775529931483,15
NO,-20.887109584105268,7
BUF,174.08650468603602,14
NE,30.021404183503833,8
TB,-78.59013748472265,8
IND,-151.32560789290304,4
WAS,-224.31081174649256,4
NYJ,-106.37101507331232,7
ATL,-61.03003015425767,7
CLE,11.71814930598228,11
NYG,-164.63048050436345,6
KC,128.6085342698108,15
CHI,-9.843363808303707,7
BAL,251.71162430630648,14
IND,-29.775990998596836,9
SEA,-38.00030700485669,9
DEN,-67.58281664235695,8
LAC,-57.92193534560542,5
NE,-158.3314098511961,4
PIT,-33.94759220680538,10
MIN,-20.58132721886888,7
NO,87.5602682111949,9
CIN,-19.2194220090541,9
TB,44.886735553742845,10
HOU,33.094864475794125,11
JAX,11.318712999872474,9
TEN,-88.85201351499077,6
BUF,165.88478196928378,12
PHI,-11.161690668202496,11
CAR,-207.06140676399153,2
ARI,-147.43732894471947,4
DAL,216.8150545332225,12
DET,72.61465016555192,14
LA,35.05232800661501,10
MIA,102.02767975460218,11
GB,63.62790649524753,10
SF,228.25387023878307,14
LV,-7.116217830035481,8
