Team,Vegas Wins,,,,,,,,
ARI,9,,,,,,,,
ATL,5,,,,,,,,
BAL,9.5,,,,,,,,
BUF,11.5,,,,,,,,
CAR,6,,,,,,,,
CHI,7,,,,,,,,
CIN,10,,,,,,,,
CLE,9.5,,,,,,,,
DAL,10.5,,,,,,,,
DEN,10,,,,,,,,
DET,6,,,,,,,,
GB,11,,,,,,,,
HOU,4.5,,,,,,,,
IND,9.5,,,,,,,,
JAX,6.5,,,,,,,,
KC,11,,,,,,,,
LA,10.5,,,,,,,,
LAC,10,,,,,,,,
LV,8.5,,,,,,,,
MIA,9,,,,,,,,
MIN,9,,,,,,,,
NE,8.5,,,,,,,,
NO,8,,,,,,,,
NYG,7,,,,,,,,
NYJ,5.5,,,,,,,,
PHI,8.5,,,,,,,,
PIT,7.5,,,,,,,,
SEA,6.5,,,,,,,,
SF,10,,,,,,,,
TB,11.5,,,,,,,,
TEN,9.5,,,,,,,,
WAS,7.5,,,,,,,,
