Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Alge Crumpler,TE,['ATL'],18,37.03204762183491,2.0573359789908285,0.5527171286841032,0.024524534848897293,0,0,0,0,0,37.03204762183491,0.9032206737032905,0.5527171286841032
Doug Jolley,TE,['LV'],16,31.285443119530523,1.9553401949706577,0.6134400611672651,0.019516807934828774,0,0,0,0,0,31.285443119530523,0.7275684446402447,0.6134400611672651
Billy Miller,TE,['HOU'],14,29.050705363486102,2.07505038310615,0.3631338170435763,0.022432977114661082,0,0,0,0,0,29.050705363486102,0.5696216737938451,0.3631338170435763
Shannon Sharpe,TE,['DEN'],13,27.15367320756689,2.088744092889761,0.30856446826780554,0.01973377413340617,0,0,0,0,0,27.15367320756689,0.44514218373060477,0.30856446826780554
Ken Dilger,TE,['TB'],17,26.392739635628725,1.5525140962134545,0.455047235097047,0.016630585781744627,0,0,0,0,0,26.392739635628725,0.6437253569665543,0.455047235097047
Tony Gonzalez,TE,['KC'],16,26.186495560090627,1.6366559725056642,0.2645100561625316,0.020717164208932458,0,0,0,0,0,26.186495560090627,0.4156586596839782,0.2645100561625316
Bubba Franks,TE,['GB'],17,25.488438499056322,1.4993199117091953,0.33101868180592625,0.01772492246109619,4.006604062164131,4.006604062164131,4.006604062164131,0,0,21.48183443689219,0.3836041863730748,0.2826557162748972
Ernie Conwell,TE,['LA'],16,19.803095753398292,1.2376934845873933,0.3667239954333017,0.01501371929749681,0,0,0,2.470806465776942,0.4118010776294903,17.33228928762135,0.5097732143418044,0.3610893601587781
Jimmy Kleinsasser,TE,['MIN'],14,18.198415816352274,1.2998868440251623,0.3249717110062906,0.012943396739937605,0,0,0,-0.4773709061849953,-0.07956181769749922,18.675786722537268,0.5047509925010072,0.3735157344507454
Byron Chamberlain,TE,['MIN'],13,18.046428348152,1.3881867960116923,0.36092856696304,0.012835297544916073,0,0,0,0,0,18.046428348152,0.5307773043574118,0.36092856696304
Todd Heap,TE,['BAL'],16,17.020906835765462,1.0638066772353414,0.13402288847059418,0.013693408556528931,-0.5456271505665141,0,-0.5456271505665141,1.7507161328673209,0.4376790332168302,15.815817853464655,0.23258555666859787,0.129637851257907
Jeff Thomason,TE,['PHI'],7,15.814418162552316,2.259202594650331,1.317868180212693,0.010397382092407835,0,0,0,0,0,15.814418162552316,1.5814418162552317,1.317868180212693
Christian Fauria,TE,['NE'],15,15.335417151051029,1.022361143403402,0.38338542877627574,0.011530388835376713,0,0,0,0,0,15.335417151051029,0.56797841300189,0.38338542877627574
Matt Schobel,TE,['CIN'],14,11.36144085134726,0.8115314893819471,0.31559557920409054,0.008542436730336285,0,0,0,0,0,11.36144085134726,0.42079410560545405,0.31559557920409054
Rickey Dudley,TE,['TB'],16,10.064856216183777,0.6290535135114861,0.32467278116721865,0.006342064408433382,0,0,0,0,0,10.064856216183777,0.5591586786768765,0.32467278116721865
Jay Riemersma,TE,['BUF'],16,9.723238346148618,0.6077023966342886,0.20256746554476288,0.00710763036999168,0,0,0,0,0,9.723238346148618,0.3038511983171443,0.20256746554476288
John Davis,TE,['CHI'],10,9.263440458253703,0.9263440458253702,0.2807103169167789,0.007231413316357301,0,0,0,0,0,9.263440458253703,0.4631720229126851,0.2807103169167789
