Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Patrick Mahomes,QB,['KC'],20,248.284,12.4142,0.302,0.1527,223.295,0.4404,0.2985,24.6408,0.3375,0.3481,0.3481144802923876,0.3481
Jalen Hurts,QB,['PHI'],18,131.7186,7.3177,0.1763,0.0782,81.826,0.2248,0.1496,49.8927,0.2495,0.0,0,0.0
Josh Allen,QB,['BUF'],18,130.2759,7.2375,0.1662,0.0886,86.6032,0.2128,0.1336,43.6727,0.3211,0.0,0,0.0
Joe Burrow,QB,['CIN'],19,108.9624,5.7349,0.1354,0.0689,100.2806,0.2063,0.1403,8.6818,0.0965,0.0,0,0.0
Tua Tagovailoa,QB,['MIA'],13,91.774,7.0595,0.2164,0.0654,101.6817,0.3926,0.2542,-9.9076,-0.4128,0.0,0,0.0
Jared Goff,QB,['DET'],17,83.5519,4.9148,0.1354,0.0602,101.5256,0.2658,0.173,-17.8439,-0.6153,-0.1299,-0.12988199060031264,-0.1299
Trevor Lawrence,QB,['JAX'],19,80.3834,4.2307,0.1092,0.0526,82.0791,0.187,0.1225,-1.6957,-0.0257,0.0,0,0.0
Dak Prescott,QB,['DAL'],14,72.8616,5.2044,0.1401,0.0463,59.4393,0.1924,0.1281,13.4223,0.2397,0.0,0,0.0
Daniel Jones,QB,['NYG'],18,70.2841,3.9047,0.1038,0.0452,19.8672,0.0558,0.0372,50.4169,0.3526,0.0,0,0.0
Jimmy Garoppolo,QB,['SF'],11,66.9441,6.0858,0.2022,0.043,70.7699,0.3419,0.2298,-3.8258,-0.1663,0.0,0,0.0
Lamar Jackson,QB,['BAL'],12,54.5025,4.5419,0.1244,0.0388,13.6977,0.0675,0.042,40.8049,0.3643,0.0,0,0.0
Jacoby Brissett,QB,['CLE'],14,42.9925,3.0709,0.1029,0.0304,22.1798,0.094,0.0601,20.8127,0.4247,0.0,0,0.0
Brock Purdy,QB,['SF'],12,40.8119,3.401,0.1558,0.0262,52.7918,0.3406,0.2266,-11.9799,-0.4131,0.0,0,0.0
Tom Brady,QB,['TB'],18,36.14,2.0078,0.0436,0.023,61.4135,0.117,0.0769,-20.5037,-0.707,-4.7698,0,-4.7698
Geno Smith,QB,['SEA'],18,35.3737,1.9652,0.0521,0.0245,34.0302,0.0803,0.0561,1.3434,0.0187,0.0,0,0.0
Kirk Cousins,QB,['MIN'],18,35.1153,1.9509,0.0491,0.0229,35.9851,0.0791,0.0528,1.5416,0.0482,-2.4114,-2.411356485832871,-2.4114
Taysom Hill,QB,['NO'],16,32.3312,2.0207,0.2526,0.0247,12.6207,0.9708,0.6642,17.1596,0.1787,2.5509,0.28343200364815024,0.1962
Derek Carr,QB,['LV'],15,30.3288,2.0219,0.0577,0.0224,28.2103,0.0925,0.0562,2.1185,0.0883,0.0,0,0.0
Justin Herbert,QB,['LAC'],18,23.9525,1.3307,0.0299,0.0155,16.7603,0.0334,0.0226,10.051,0.1763,-2.8588,-1.4294128823821257,-1.4294
Ryan Tannehill,QB,['TEN'],12,18.8061,1.5672,0.0524,0.0145,22.3823,0.1056,0.0689,-3.5762,-0.1052,0.0,0,0.0
Marcus Mariota,QB,['ATL'],13,13.871,1.067,0.036,0.0107,4.2956,0.0233,0.0143,9.5754,0.1127,0.0,0,0.0
Sam Darnold,QB,['CAR'],6,13.0682,2.178,0.0787,0.0102,17.2127,0.2099,0.1229,-4.1446,-0.1594,0.0,0,0.0
Nick Mullens,QB,['MIN'],4,10.9428,2.7357,0.3773,0.0071,11.9197,0.5676,0.4768,-0.9768,-0.2442,0.0,0,0.0
Mitchell Trubisky,QB,['PIT'],7,10.4226,1.4889,0.0524,0.0074,13.4466,0.1149,0.0747,-3.024,-0.1592,0.0,0,0.0
Davis Webb,QB,['NYG'],1,8.8162,8.8162,0.1917,0.0057,2.1172,0.0921,0.0529,6.6989,1.1165,0.0,0,0.0
Andy Dalton,QB,['NO'],14,6.0705,0.4336,0.0149,0.0046,14.7383,0.0585,0.039,-8.6679,-0.2889,0.0,0,0.0
Teddy Bridgewater,QB,['MIA'],5,4.8099,0.962,0.0587,0.0034,1.3356,0.0273,0.0169,3.4744,1.1581,0.0,0,0.0
Tyrod Taylor,QB,['NYG'],2,4.717,2.3585,0.3628,0.003,-4.1762,-0.696,-0.522,8.8932,1.7786,0.0,0,0.0
Jordan Love,QB,['GB'],4,4.2871,1.0718,0.1949,0.0032,4.2954,0.3068,0.2045,-0.0083,-0.0083,0.0,0,0.0
Chris Streveler,QB,['NYJ'],1,2.9929,2.9929,0.1247,0.0022,1.2706,0.1271,0.0847,1.7223,0.1914,0.0,0,0.0
Kenny Pickett,QB,['PIT'],13,2.5446,0.1957,0.0057,0.0018,-7.6177,-0.0311,-0.0196,10.1623,0.1848,0.0,0,0.0
Jarrett Stidham,QB,['LV'],3,2.0785,0.6928,0.0214,0.0015,-3.0086,-0.0568,-0.0362,5.0872,0.3634,0.0,0,0.0
Justin Fields,QB,['CHI'],15,1.1399,0.076,0.0024,0.0009,-62.5585,-0.3258,-0.1967,63.6985,0.3981,0.0,0,0.0
Chase Daniel,QB,['LAC'],3,0.6698,0.2233,0.0515,0.0004,1.4438,0.1805,0.1203,-0.7741,-0.7741,0.0,0,0.0
Brandon Allen,QB,['CIN'],1,-0.2528,-0.2528,-0.0421,-0.0002,-0.7134,-0.2378,-0.2378,0.4606,0.1535,0.0,0,0.0
Blaine Gabbert,QB,['TB'],1,-0.3962,-0.3962,-0.0495,-0.0003,-0.3962,-0.066,-0.0495,0.0,0.0,0.0,0,0.0
Sam Howell,QB,['WAS'],1,-0.6844,-0.6844,-0.0285,-0.0005,-6.4385,-0.5853,-0.3389,5.7542,1.1508,0.0,0,0.0
Brian Hoyer,QB,['NE'],1,-1.8895,-1.8895,-0.3149,-0.0014,-1.8895,-0.3779,-0.3149,0.0,0.0,0.0,0,0.0
Bailey Zappe,QB,['NE'],4,-2.0887,-0.5222,-0.0203,-0.0016,6.1281,0.0943,0.0666,-6.9821,-0.6982,-1.2347,-1.2346763383966084,-1.2347
Jacob Eason,QB,['CAR'],1,-2.3742,-2.3742,-0.4748,-0.0018,-2.3742,-0.7914,-0.4748,0.0,0.0,0.0,0,0.0
Chad Henne,QB,['KC'],3,-4.1215,-1.3738,-0.2748,-0.0025,0.7615,0.1523,0.0846,-4.883,-0.8138,0.0,0,0.0
