Player,POS,GP,Total EPA,EPA per Game,EPA per Play,Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
CeeDee Lamb,WR,15,93.44655669248904,6.229770446165936,0.573291758849626,0,0,0,7.572267803966213,0.6310223169971844,85.87428888852283,0.7878375127387416,0.5687038999239923
Tyreek Hill,WR,14,90.40020462203974,6.457157473002838,0.5986768518015877,0,0,0,-0.7327533561943104,-0.14655067123886206,91.13295797823405,0.8597448865871137,0.6241983423166716
Brandon Aiyuk,WR,14,71.14144924958664,5.081532089256188,0.7649618198880284,0,0,0,0,0,71.14144924958664,1.0944838346090253,0.7649618198880284
A.J. Brown,WR,15,67.19325792484055,4.4795505283227035,0.44206090740026677,0,0,0,0,0,67.19325792484055,0.6652797814340649,0.44206090740026677
Puka Nacua,WR,15,66.68905938605718,4.445937292403812,0.42749397042344345,0,0,0,3.3130694301000068,0.3313069430100007,63.37598995595718,0.6601665620412206,0.43408212298600807
Keenan Allen,WR,13,65.24857648946075,5.019121268420057,0.4236920551263685,3.47243782361495,3.47243782361495,1.736218911807475,0.09521597966367173,0.04760798983183587,61.68092268618213,0.5711196545016863,0.4112061512412142
Ja'Marr Chase,WR,14,59.82919858307021,4.273514184505015,0.4399205778166927,-2.077023920896069,-2.077023920896069,-2.077023920896069,-2.603019673587549,-0.867673224529183,64.50924217755383,0.6936477653500411,0.48870638013298356
Amon-Ra St. Brown,WR,14,58.651519993986724,4.189394285284766,0.39363436237574984,-1.9745741735678202,0,0,0.6600991040555761,0.22003303468519206,59.965995063498966,0.565716934561311,0.41072599358560935
Mike Evans,WR,15,54.041099903966476,3.602739993597765,0.43581532180618127,0,0,0,0,0,54.041099903966476,0.7402890397803626,0.43581532180618127
Nico Collins,WR,13,53.61051906326019,4.123886081789245,0.5827230332963065,0,0,0,0,0,53.61051906326019,0.8376643603634405,0.5827230332963065
Adam Thielen,WR,15,52.2389275422144,3.48259516948096,0.40495292668383254,0,0,0,0.29604714349227096,0.29604714349227096,51.942880398722124,0.5467671620918119,0.4058037531150166
D.J. Moore,WR,15,49.07403379491098,3.2716022529940654,0.4055705272306693,0,0,0,-1.5449686339733253,-0.3862421584933313,50.61900242888431,0.6098674991431844,0.4326410464007206
Amari Cooper,WR,15,45.79911825431715,3.05327455028781,0.35780561136185274,0,0,0,0,0,45.79911825431715,0.6360988646432938,0.35780561136185274
Deebo Samuel,WR,13,45.16529430040293,3.4742534077233023,0.3927416895687211,-0.4747267971339835,0,-0.4747267971339835,6.419908498077149,0.1945426817599136,39.22011259945976,0.7400021245181087,0.4841989209809847
Jaylen Waddle,WR,14,45.111900887390846,3.2222786348136316,0.42160655034944716,0,0,0,-0.5299978660358341,-0.17666595534527804,45.64189875342668,0.6339152604642595,0.43886441109064117
DK Metcalf,WR,14,42.94589390690578,3.06756385049327,0.40900851339910266,0,0,0,0,0,42.94589390690578,0.7157648984484297,0.40900851339910266
Tyler Lockett,WR,15,36.31117371497909,2.4207449143319395,0.32133782048654064,0,0,0,0,0,36.31117371497909,0.47777860151288276,0.32133782048654064
DeVonta Smith,WR,15,35.98927555900984,2.399285037267323,0.33634836971037235,0,0,0,0,0,35.98927555900984,0.4614009687052544,0.33634836971037235
Stefon Diggs,WR,15,35.633951197446144,2.37559674649641,0.2457513875685941,0,0,0,0,0,35.633951197446144,0.371186991640064,0.2457513875685941
Chris Godwin,WR,15,33.591008943783166,2.239400596252211,0.2753361388834686,-0.6238825680972263,0,-0.6238825680972263,2.9644648996949687,0.9881549665649896,31.25042661218542,0.42230306232683,0.2648341238320798
Khalil Shakir,WR,14,32.23957579842098,2.3028268427443557,0.9211307370977423,0,0,0,0,0,32.23957579842098,1.1117095102903787,0.9211307370977423
Jordan Addison,WR,15,31.376138030343345,2.091742535356223,0.32683477114940984,0,0,0,-0.468716100683355,-0.468716100683355,31.8448541310267,0.5054738750956619,0.3352089908529126
Justin Jefferson,WR,8,31.310242575910756,3.9137803219888445,0.40662652695987994,-0.4213456440447177,0,-0.4213456440447177,0,0,31.731588219955473,0.6221880043128524,0.41752089763099304
Chris Olave,WR,14,31.168361158771116,2.226311511340794,0.24161520278117143,0,0,0,0,0,31.168361158771116,0.3847945822070508,0.24161520278117143
Rashee Rice,WR,15,29.828558535934718,1.9885705690623146,0.30751091274159503,0,0,0,-2.1539335804841304,-2.1539335804841304,31.982492116418847,0.4321958394110655,0.33315095954602963
Tank Dell,WR,10,29.504848634775485,2.9504848634775485,0.34307963528808705,-0.7774166874005459,0,0,-0.2634603872959689,-0.023950944299633535,30.545725709472,0.6499090576483404,0.40727634279296
Tee Higgins,WR,11,28.54033826678111,2.59457620607101,0.38568024684839336,0,0,0,0,0,28.54033826678111,0.6961058113849051,0.38568024684839336
Brandin Cooks,WR,14,28.174688065444286,2.012477718960306,0.40832881254267084,0,0,0,1.8768031546476653,0.46920078866191633,26.297884910796622,0.6115787188557354,0.4045828447814865
