Player,POS,GP,Total EPA,EPA per Game,EPA per Play,Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
George Kittle,TE,17,67.38201383217176,3.963647872480692,0.6875715697160384,0,0,0,0.6128739069228726,0.6128739069228726,66.7691399252489,0.9676686945688245,0.6883416487139061
Travis Kelce,TE,17,58.711034936177064,3.4535902903633566,0.4285477002640662,0,0,0,0,0,58.711034936177064,0.5591527136778768,0.4285477002640662
Sam LaPorta,TE,19,45.06592500296648,2.371890789629815,0.3338216666886406,0,0,0,0.21422425745987841,0.21422425745987841,44.851700745506605,0.45767041577047557,0.3347141846679597
Jake Ferguson,TE,18,40.22637425293506,2.2347985696075034,0.35286293204329,0,0,0,0,0,40.22637425293506,0.496621904357223,0.35286293204329
Isaiah Likely,TE,14,34.07952998495532,2.434252141782523,0.7925472089524493,0,0,0,0,0,34.07952998495532,1.0649853120298538,0.7925472089524493
Cole Kmet,TE,15,32.66551854391085,2.1777012362607233,0.35124213488076184,0,0,0,0.6286303335193993,0.20954344450646645,32.03688821039145,0.43886148233412947,0.35596542455990504
T.J. Hockenson,TE,15,32.502858140950686,2.1668572093967122,0.2559280168578794,0,0,0,0,0,32.502858140950686,0.3421353488521125,0.2559280168578794
Mark Andrews,TE,10,31.10027003317496,3.110027003317496,0.5016172585995962,0,0,0,-1.5741203613999377,-1.5741203613999377,32.6743903945749,0.7260975643238866,0.535645744173359
Dalton Schultz,TE,17,30.143427641113192,1.773142802418423,0.31075698599085766,0,0,0,0,0,30.143427641113192,0.46374504063251065,0.31075698599085766
Brevin Jordan,TE,11,22.890749887564155,2.0809772625058325,0.995249995111485,0,0,0,0,0,22.890749887564155,1.2717083270868974,0.995249995111485
Durham Smythe,TE,14,19.451026146968804,1.3893590104977718,0.4138516201482724,0,0,0,0,0,19.451026146968804,0.511869109130758,0.4138516201482724
Luke Musgrave,TE,13,19.359563741919104,1.489197210916854,0.36527478758337933,0,0,0,0,0,19.359563741919104,0.4839890935479776,0.36527478758337933
Donald Parham,TE,13,18.65725001813076,1.4351730783177508,0.45505487849099413,0,0,0,0,0,18.65725001813076,0.6910092599307689,0.45505487849099413
Hunter Henry,TE,13,18.606540281213974,1.4312723293241518,0.3050252505117045,0,0,0,0,0,18.606540281213974,0.443012863838428,0.3050252505117045
Dalton Kincaid,TE,18,17.852282272150067,0.9917934595638926,0.17502237521715752,0,0,0,0,0,17.852282272150067,0.2203985465697539,0.17502237521715752
