Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Puka Nacua,WR,['LA'],15,117.67012790916026,7.844675193944017,0.7219026252095722,0.09128791924682719,0.0,0.0,0.0,7.697556485881823,0.9621945607352279,109.97257142327844,0.924139255657802,0.7095004607953448
George Pickens,WR,['DAL'],16,91.42326014691531,5.713953759182207,0.6822631354247412,0.06591439087737225,0.0,0.0,0.0,0.0,0.0,91.42326014691531,0.9937310885534273,0.6822631354247412
Jaxon Smith-Njigba,WR,['SEA'],16,87.87015281444015,5.491884550902509,0.5424083507064207,0.07138111520263213,0.0,0.0,0.0,-0.10253641182743889,-0.01464805883249127,87.97268922626759,0.778519373683784,0.5675657369436619
Stefon Diggs,WR,['NE'],16,64.6271807692501,4.039198798078131,0.6527998057500011,0.051210127392432726,0.0,0.0,0.0,0.0,0.0,64.6271807692501,0.7881363508445135,0.6527998057500011
Amon-Ra St. Brown,WR,['DET'],16,53.11301747833064,3.319563592395665,0.3319563592395665,0.04159202621639048,0.0,0.0,0.0,0.5249232210377004,0.1749744070125668,52.58809425729294,0.4961140967669145,0.33495601437766204
DeVonta Smith,WR,['PHI'],16,52.24311006797819,3.265194379248637,0.4792945877796165,0.04223371872916588,0.0,0.0,0.0,0.0,0.0,52.24311006797819,0.7059879738915972,0.4792945877796165
Jameson Williams,WR,['DET'],16,49.16415281398859,3.072759550874287,0.49164152813988593,0.03849972812371855,0.0,0.0,0.0,-1.4363831329994485,-0.23939718883324143,50.60053594698804,0.8576362024913227,0.5383035739041281
Alec Pierce,WR,['IND'],14,47.13087905879729,3.3664913613426637,0.6120893384259388,0.038224557225301936,0.0,0.0,0.0,0.0,0.0,47.13087905879729,1.096066954855751,0.6120893384259388
Tee Higgins,WR,['CIN'],14,44.124844265255774,3.1517745903754126,0.4957847670253458,0.0339160985897431,0.0,0.0,0.0,0.0,0.0,44.124844265255774,0.8325442314199203,0.4957847670253458
Nico Collins,WR,['HOU'],15,43.300852113238605,2.886723474215907,0.3549250173216279,0.03277884338625178,0.0,0.0,0.0,2.087680571810754,1.043840285905377,41.213171541427855,0.5804672048088431,0.34344309617856544
Courtland Sutton,WR,['DEN'],16,42.40730248763841,2.6504564054774007,0.34760084006260994,0.032078141064779436,-4.03171936139203,0.0,0.0,0.0,0.0,46.43902184903044,0.6361509842332936,0.38064772007402
Zay Flowers,WR,['BAL'],16,39.89958393674843,2.4937239960467767,0.3270457699733478,0.03300213725123939,0.0,0.0,0.0,2.3766002292923645,0.23766002292923644,37.52298370745606,0.4575973622860496,0.33502664024514345
Keenan Allen,WR,['LAC'],16,38.85944010505799,2.4287150065661245,0.3565086248170458,0.029641067967244843,0.0,0.0,0.0,0.0,0.0,38.85944010505799,0.5251275689872702,0.3565086248170458
Kayshon Boutte,WR,['NE'],13,36.98338524486421,2.8448757880664775,0.8805567915443859,0.02930537658071649,0.0,0.0,0.0,0.0,0.0,36.98338524486421,1.1930124272536842,0.8805567915443859
DK Metcalf,WR,['PIT'],15,34.23081330467768,2.2820542203118452,0.3389189436106701,0.02876538933166192,0.0,0.0,0.0,1.6431705812218804,0.8215852906109402,32.5876427234558,0.5523329275162,0.32916810831773535
Christian Watson,WR,['GB'],10,33.650910253235644,3.365091025323564,0.6009091116649222,0.027582713322324297,0.0,0.0,0.0,-0.15421291011361865,-0.15421291011361865,33.805123163349265,0.965860661809979,0.6146386029699866
Jaylen Waddle,WR,['MIA'],16,33.42940020976337,2.0893375131102108,0.32455728358993563,0.028893172177842152,-0.5508677154032554,-0.5508677154032554,-0.5508677154032554,1.923220557737892,0.961610278868946,32.05704736742874,0.500891365116074,0.32057047367428737
