Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Jonathan Taylor,RB,['IND'],5,13.56484026088664,2.7129680521773283,0.12111464518648786,0.03478164169458113,0.0,0.0,0.0,8.004114385844755,0.08515015304090165,5.560725875041885,0.3475453671901178,0.3089292152801047
Jacory Croskey-Merritt,RB,['WAS'],5,10.2945190847015,2.0589038169403002,0.20589038169403,0.026532265682220363,0.0,0.0,0.0,8.839083881824003,0.20556009027497682,1.455435202877498,0.2910870405754996,0.20791931469678543
Javonte Williams,RB,['DAL'],5,9.803080935037062,1.9606161870074126,0.09902101954582891,0.022330480489833854,0.0,0.0,0.0,12.499760164952013,0.15822481221458246,-2.69667922991495,-0.15862818999499706,-0.1348339614957475
Quinshon Judkins,RB,['CLE'],4,8.755828972322576,2.188957243080644,0.10549191532918765,0.020268122621117074,0.0,0.0,0.0,8.806134155247031,0.12230741882287544,-0.050305182924455405,-0.005589464769383934,-0.004573198447677764
Jaylen Warren,RB,['PIT'],3,8.746318715888002,2.915439571962667,0.1590239766525091,0.031015314595347523,0.0,0.0,0.0,1.3938107735377212,0.03241420403576096,7.35250794235028,0.6684098129409345,0.6127089951958566
Rachaad White,RB,['TB'],5,7.2910340120128545,1.458206802402571,0.1458206802402571,0.01719583493399258,0.0,0.0,0.0,6.260233439159341,0.16919549835565786,1.0308005728535135,0.08590004773779279,0.07929235175796258
James Cook,RB,['BUF'],5,5.800889959802266,1.1601779919604531,0.05577778807502179,0.01377883600903151,0.0,0.0,0.0,6.568208278740534,0.07298009198600594,-0.7673183189382681,-0.06394319324485567,-0.054808451352733434
David Montgomery,RB,['DET'],5,5.417036521212425,1.083407304242485,0.07738623601732035,0.013714016509398543,1.3296571137350273,1.3296571137350273,1.3296571137350273,3.967090882281878,0.06503427675871931,0.12028852519551947,0.01718407502793135,0.015036065649439934
Jeremy McNichols,RB,['WAS'],4,5.303844339093839,1.3259610847734598,0.3535896226062559,0.013669701904881029,0.0,0.0,0.0,5.599480913847208,0.5090437194406553,-0.29563657475336913,-0.14781828737668457,-0.07390914368834228
Chuba Hubbard,RB,['CAR'],4,5.029286029693099,1.2573215074232746,0.07184694328132998,0.011917739406855685,0.0,0.0,0.0,-0.8552841398193474,-0.016137436600365044,5.884570169512446,0.4526592438086497,0.34615118644190856
Bijan Robinson,RB,['ATL'],4,4.721683496470498,1.1804208741176245,0.05427222409736205,0.014094577601404472,0.0,0.0,0.0,-5.363957384916927,-0.08381183413932698,10.085640881387425,0.5603133822993014,0.43850612527771415
Kareem Hunt,RB,['KC'],5,4.490120325666009,0.8980240651332018,0.08980240651332018,0.011225300814165022,0.0,0.0,0.0,2.174595357116853,0.05057198504922914,2.3155249685491563,0.38592082809152606,0.3307892812213081
Kenneth Walker III,RB,['SEA'],5,3.8864225368489436,0.7772845073697887,0.051137138642749255,0.010419363369568214,0.0,0.0,0.0,3.2527609439826275,0.047834719764450404,0.6336615928663161,0.09052308469518801,0.07920769910828951
Josh Jacobs,RB,['GB'],4,3.232324476693096,0.808081119173274,0.034386430603118044,0.009854647794796023,0.0,0.0,0.0,-1.0703545751306403,-0.013379432189133003,4.302679051823736,0.43026790518237357,0.30733421798740973
Omarion Hampton,RB,['LAC'],5,3.1880219991860366,0.6376043998372073,0.036227522718023146,0.007756744523566999,0.0,0.0,0.0,3.0059403150401884,0.04554455022788164,0.18208168414584813,0.009104084207292407,0.008276440188447642
Justice Hill,RB,['BAL'],5,3.0863815764296127,0.6172763152859225,0.11870698370883126,0.008793109904357872,0.0,0.0,0.0,1.6050948110180627,0.17834386789089585,1.4812867654115498,0.11394513580088844,0.0871345156124441
