Rank,Team,ADJ EPA Per Play
1,TB ( 2002 ),0.177
2,PHI ( 2002 ),0.167
3,BUF ( 2021 ),0.167
4,TB ( 2020 ),0.157
5,BAL ( 2000 ),0.15
6,BAL ( 2008 ),0.149
7,NE ( 2019 ),0.146
8,CHI ( 2012 ),0.139
9,SEA ( 2013 ),0.139
10,SF ( 2022 ),0.139
11,PHI ( 2022 ),0.132
12,BAL ( 2004 ),0.13
13,BAL ( 2020 ),0.127
14,BUF ( 2020 ),0.126
15,NE ( 2021 ),0.122
16,BUF ( 2022 ),0.122
17,KC ( 2021 ),0.121
18,KC ( 2022 ),0.121
19,GB ( 2020 ),0.12
20,CIN ( 2022 ),0.12
21,BAL ( 2003 ),0.118
22,PHI ( 2008 ),0.118
23,MIA ( 2000 ),0.117
24,CHI ( 2004 ),0.117
25,ARI ( 2012 ),0.117
26,LA ( 2021 ),0.117
27,DAL ( 2021 ),0.116
28,TB ( 2021 ),0.114
29,DEN ( 2015 ),0.113
30,PIT ( 2008 ),0.11
31,NYJ ( 2009 ),0.109
32,NO ( 2020 ),0.109
33,BAL ( 2006 ),0.108
34,BAL ( 2018 ),0.103
35,SEA ( 2020 ),0.1
36,TEN ( 2008 ),0.099
37,PHI ( 2001 ),0.098
38,DAL ( 2022 ),0.098
39,TB ( 1999 ),0.097
40,CHI ( 2005 ),0.096
41,KC ( 2020 ),0.096
42,CHI ( 2010 ),0.094
43,ARI ( 2013 ),0.093
44,DEN ( 2016 ),0.091
45,CHI ( 2001 ),0.09
46,BUF ( 2004 ),0.088
47,HOU ( 2016 ),0.088
48,WAS ( 2004 ),0.087
49,CHI ( 2006 ),0.087
50,MIN ( 2007 ),0.085
51,SF ( 2013 ),0.085
52,CIN ( 2013 ),0.085
53,SF ( 2019 ),0.084
54,LA ( 2001 ),0.082
55,BUF ( 2014 ),0.082
56,CAR ( 2015 ),0.082
57,PIT ( 2019 ),0.082
58,SF ( 2011 ),0.081
59,DET ( 2000 ),0.079
60,MIN ( 2018 ),0.079
61,CHI ( 2018 ),0.078
62,TB ( 2008 ),0.077
63,KC ( 2013 ),0.077
64,NE ( 2016 ),0.077
65,PIT ( 2020 ),0.077
66,IND ( 2020 ),0.076
67,ARI ( 2021 ),0.076
68,PIT ( 2001 ),0.075
69,CAR ( 2002 ),0.075
70,BAL ( 2001 ),0.074
71,MIA ( 2004 ),0.074
72,BAL ( 2023 ),0.074
73,LA ( 1999 ),0.072
74,DET ( 2011 ),0.072
75,TEN ( 2000 ),0.071
76,NE ( 2001 ),0.071
77,PHI ( 2004 ),0.071
78,MIN ( 2008 ),0.07
79,SF ( 2009 ),0.07
80,MIN ( 2009 ),0.069
81,CIN ( 2021 ),0.069
82,GB ( 2021 ),0.069
83,HOU ( 2002 ),0.068
84,TB ( 2000 ),0.067
85,CLE ( 2023 ),0.067
86,BAL ( 2009 ),0.066
87,BAL ( 2011 ),0.065
88,BAL ( 2016 ),0.064
89,LA ( 2020 ),0.064
90,CAR ( 2009 ),0.063
91,NYG ( 2010 ),0.063
92,CHI ( 2011 ),0.063
93,GB ( 2010 ),0.062
94,JAX ( 2017 ),0.062
95,LA ( 2010 ),0.06
96,MIN ( 2006 ),0.059
97,CIN ( 2012 ),0.058
98,CHI ( 2019 ),0.058
99,MIN ( 2016 ),0.057
100,NE ( 2018 ),0.057
101,PHI ( 2000 ),0.056
102,NO ( 2002 ),0.056
103,TB ( 2004 ),0.056
104,PHI ( 2005 ),0.056
105,DEN ( 2004 ),0.055
106,SEA ( 2012 ),0.055
107,DET ( 2014 ),0.055
108,CAR ( 2013 ),0.054
109,IND ( 2021 ),0.054
110,NE ( 2003 ),0.053
111,NE ( 2004 ),0.053
112,NYG ( 2013 ),0.053
113,JAX ( 2006 ),0.052
114,DAL ( 2009 ),0.052
115,DEN ( 2012 ),0.052
116,ATL ( 2012 ),0.052
117,LA ( 2003 ),0.051
118,BAL ( 2005 ),0.051
119,NO ( 2013 ),0.051
120,ARI ( 2016 ),0.051
121,DAL ( 2002 ),0.05
122,HOU ( 2011 ),0.05
123,HOU ( 2012 ),0.05
124,HOU ( 2015 ),0.05
125,CHI ( 2008 ),0.048
126,CAR ( 2008 ),0.048
127,BAL ( 2010 ),0.048
128,BAL ( 1999 ),0.047
129,CHI ( 2007 ),0.047
130,CAR ( 2000 ),0.046
131,WAS ( 2007 ),0.046
132,PIT ( 2012 ),0.046
133,LA ( 2015 ),0.046
134,BUF ( 2019 ),0.046
135,TEN ( 2020 ),0.046
136,BAL ( 2022 ),0.046
137,LAC ( 2007 ),0.045
138,BAL ( 2012 ),0.045
139,TB ( 2003 ),0.044
140,TB ( 2005 ),0.044
141,SEA ( 2021 ),0.044
142,IND ( 2005 ),0.043
143,PIT ( 2005 ),0.043
144,CAR ( 2005 ),0.043
145,MIA ( 2020 ),0.043
146,LA ( 2002 ),0.042
147,GB ( 2002 ),0.042
148,DEN ( 2005 ),0.042
149,LAC ( 2012 ),0.042
150,MIA ( 2012 ),0.042
151,KC ( 2016 ),0.042
152,GB ( 2001 ),0.041
153,ATL ( 2004 ),0.041
154,SF ( 2012 ),0.041
155,KC ( 2015 ),0.041
156,MIN ( 2019 ),0.041
157,ARI ( 2014 ),0.04
158,HOU ( 2014 ),0.04
159,NYJ ( 2015 ),0.04
160,SF ( 2021 ),0.04
161,LV ( 2002 ),0.039
162,JAX ( 2004 ),0.039
163,SEA ( 2014 ),0.039
164,ARI ( 2020 ),0.039
165,BUF ( 1999 ),0.038
166,JAX ( 1999 ),0.038
167,ATL ( 2002 ),0.038
168,DEN ( 2003 ),0.038
169,BUF ( 2003 ),0.038
170,PIT ( 2010 ),0.038
171,MIN ( 2012 ),0.038
172,JAX ( 2022 ),0.038
173,KC ( 2023 ),0.038
174,KC ( 1999 ),0.037
175,DEN ( 2002 ),0.037
176,JAX ( 2005 ),0.037
177,TEN ( 2007 ),0.037
178,ARI ( 2004 ),0.036
179,PHI ( 2014 ),0.036
180,PHI ( 2016 ),0.036
181,SEA ( 2016 ),0.036
182,DAL ( 2018 ),0.036
183,TEN ( 2019 ),0.036
184,BAL ( 2013 ),0.035
185,MIN ( 2017 ),0.035
186,ARI ( 2018 ),0.035
187,PIT ( 2000 ),0.034
188,NYG ( 2005 ),0.034
189,NE ( 2009 ),0.034
190,LA ( 2014 ),0.034
191,PHI ( 2017 ),0.034
192,WAS ( 2005 ),0.033
193,LA ( 2012 ),0.033
194,CLE ( 2012 ),0.033
195,LA ( 2013 ),0.033
196,SEA ( 2015 ),0.033
197,PIT ( 2004 ),0.032
198,CAR ( 2016 ),0.032
199,CIN ( 2004 ),0.031
200,MIN ( 2005 ),0.031
201,HOU ( 2004 ),0.03
202,TEN ( 2010 ),0.03
203,NYJ ( 2010 ),0.03
204,TEN ( 2021 ),0.03
205,DAL ( 2005 ),0.029
206,LV ( 2023 ),0.029
207,NYJ ( 2023 ),0.029
208,NYJ ( 2004 ),0.028
209,BUF ( 2008 ),0.028
210,DEN ( 2009 ),0.028
211,LAC ( 2010 ),0.028
212,NYG ( 2012 ),0.028
213,ARI ( 2015 ),0.028
214,NE ( 2002 ),0.027
215,MIA ( 2003 ),0.027
216,CIN ( 2001 ),0.026
217,GB ( 2009 ),0.026
218,JAX ( 2011 ),0.026
219,BUF ( 2018 ),0.026
220,NYJ ( 2018 ),0.026
221,CLE ( 2018 ),0.026
222,MIA ( 2022 ),0.026
223,NO ( 2023 ),0.026
224,MIA ( 2001 ),0.025
225,NYG ( 2007 ),0.025
226,CIN ( 2015 ),0.025
227,LAC ( 2018 ),0.025
228,LA ( 2019 ),0.025
229,NE ( 2022 ),0.025
230,NE ( 2007 ),0.024
231,ATL ( 2011 ),0.024
232,BUF ( 2013 ),0.024
233,NE ( 2015 ),0.024
234,ATL ( 2020 ),0.024
235,MIA ( 2013 ),0.023
236,PIT ( 2015 ),0.023
237,NYG ( 2016 ),0.023
238,MIA ( 2006 ),0.022
239,SEA ( 2007 ),0.022
240,MIA ( 2011 ),0.022
241,BUF ( 2009 ),0.021
242,CIN ( 2009 ),0.021
243,NO ( 2009 ),0.021
244,LV ( 2000 ),0.02
245,TB ( 2001 ),0.02
246,PIT ( 2003 ),0.02
247,NYJ ( 2012 ),0.02
248,GB ( 2015 ),0.02
249,BAL ( 2017 ),0.02
250,NO ( 2021 ),0.02
251,MIA ( 1999 ),0.019
252,NE ( 1999 ),0.019
253,SEA ( 2005 ),0.019
254,MIN ( 2010 ),0.019
255,NE ( 2010 ),0.019
256,TB ( 2012 ),0.019
257,NE ( 2014 ),0.019
258,JAX ( 2018 ),0.019
259,NYJ ( 2000 ),0.018
260,DET ( 2004 ),0.018
261,NO ( 2010 ),0.018
262,MIN ( 2015 ),0.018
263,NYG ( 2008 ),0.017
264,WAS ( 2010 ),0.017
265,TB ( 2016 ),0.017
266,PHI ( 2021 ),0.017
267,DEN ( 2021 ),0.017
268,BUF ( 2000 ),0.016
269,IND ( 2007 ),0.016
270,ARI ( 2017 ),0.016
271,DAL ( 2023 ),0.016
272,DET ( 2013 ),0.015
273,DEN ( 2018 ),0.015
274,NYJ ( 2019 ),0.015
275,DET ( 2003 ),0.014
276,IND ( 2018 ),0.014
277,DEN ( 2019 ),0.014
278,CLE ( 2001 ),0.013
279,DAL ( 2003 ),0.013
280,PHI ( 2007 ),0.013
281,PHI ( 2011 ),0.013
282,PIT ( 2011 ),0.013
283,NO ( 2004 ),0.012
284,LV ( 2006 ),0.012
285,JAX ( 2007 ),0.012
286,CAR ( 2017 ),0.012
287,WAS ( 2001 ),0.011
288,BAL ( 2002 ),0.011
289,NO ( 2003 ),0.011
290,DEN ( 2006 ),0.011
291,NO ( 2018 ),0.011
292,WAS ( 2000 ),0.01
293,GB ( 2003 ),0.01
294,TB ( 2007 ),0.01
295,PIT ( 2013 ),0.01
296,HOU ( 2018 ),0.01
297,DEN ( 2001 ),0.009
298,NO ( 2008 ),0.009
299,ARI ( 2011 ),0.009
300,PHI ( 2013 ),0.009
301,IND ( 2014 ),0.009
302,DET ( 2022 ),0.009
303,TB ( 2013 ),0.008
304,DET ( 2017 ),0.008
305,BAL ( 2007 ),0.007
306,BAL ( 2019 ),0.007
307,DAL ( 2001 ),0.006
308,PHI ( 2009 ),0.006
309,LA ( 2011 ),0.006
310,SEA ( 2018 ),0.006
311,PIT ( 2018 ),0.006
312,TB ( 2019 ),0.006
313,CLE ( 2005 ),0.005
314,NYJ ( 2008 ),0.005
315,DET ( 2010 ),0.005
316,KC ( 2019 ),0.005
317,MIN ( 2021 ),0.005
318,DET ( 1999 ),0.004
319,DAL ( 1999 ),0.004
320,CLE ( 2004 ),0.004
321,ATL ( 2008 ),0.004
322,SEA ( 2011 ),0.004
323,LV ( 2016 ),0.004
324,LAC ( 2021 ),0.004
325,PIT ( 2023 ),0.004
326,NYG ( 2000 ),0.003
327,NYG ( 2001 ),0.003
328,MIA ( 2002 ),0.003
329,PIT ( 2007 ),0.003
330,SF ( 2008 ),0.003
331,ARI ( 2009 ),0.003
332,LA ( 2017 ),0.003
333,CAR ( 2003 ),0.002
334,TB ( 2009 ),0.002
335,DEN ( 2013 ),0.002
336,LAC ( 2017 ),0.002
337,LA ( 2018 ),0.002
338,CLE ( 2014 ),0.001
339,KC ( 2011 ),-0.0
340,DEN ( 2017 ),-0.0
341,SEA ( 2019 ),0.0
342,CHI ( 2020 ),0.0
343,BUF ( 2006 ),-0.001
344,KC ( 2007 ),-0.001
345,IND ( 2009 ),-0.001
346,KC ( 2010 ),-0.001
347,CIN ( 2011 ),-0.001
348,HOU ( 2013 ),-0.001
349,CIN ( 2014 ),-0.001
350,DAL ( 2016 ),-0.001
351,PHI ( 1999 ),-0.002
352,SEA ( 1999 ),-0.002
353,LAC ( 2000 ),-0.002
354,SF ( 2001 ),-0.002
355,PHI ( 2003 ),-0.002
356,CAR ( 2007 ),-0.002
357,NO ( 2019 ),-0.002
358,BAL ( 2021 ),-0.002
359,GB ( 2022 ),-0.002
360,SEA ( 2022 ),-0.002
361,DEN ( 2011 ),-0.003
362,NYJ ( 2016 ),-0.003
363,WAS ( 2022 ),-0.003
364,NYG ( 2002 ),-0.004
365,WAS ( 2011 ),-0.004
366,CLE ( 2013 ),-0.004
367,MIN ( 2023 ),-0.004
368,TEN ( 2003 ),-0.005
369,WAS ( 2008 ),-0.005
370,MIN ( 2011 ),-0.005
371,GB ( 2012 ),-0.005
372,NYG ( 2022 ),-0.005
373,CLE ( 2022 ),-0.005
374,SF ( 2023 ),-0.005
375,KC ( 2005 ),-0.006
376,ATL ( 2010 ),-0.006
377,CAR ( 2010 ),-0.006
378,NYJ ( 2011 ),-0.006
379,PIT ( 1999 ),-0.007
380,NO ( 2000 ),-0.007
381,CAR ( 2001 ),-0.007
382,PIT ( 2002 ),-0.007
383,CHI ( 2003 ),-0.007
384,ARI ( 2007 ),-0.007
385,CLE ( 2008 ),-0.007
386,WAS ( 2009 ),-0.007
387,ATL ( 2009 ),-0.007
388,NO ( 2011 ),-0.007
389,BAL ( 2014 ),-0.007
390,CLE ( 2020 ),-0.007
391,NE ( 2023 ),-0.007
392,TEN ( 1999 ),-0.008
393,CLE ( 2002 ),-0.008
394,SF ( 2007 ),-0.008
395,GB ( 2014 ),-0.008
396,LA ( 2016 ),-0.008
397,CHI ( 2000 ),-0.009
398,HOU ( 2009 ),-0.009
399,NE ( 2013 ),-0.009
400,CAR ( 2014 ),-0.009
401,PHI ( 2018 ),-0.009
402,NYG ( 2004 ),-0.01
403,NE ( 2012 ),-0.01
404,NYG ( 2017 ),-0.01
405,ATL ( 2017 ),-0.01
406,TEN ( 2018 ),-0.01
407,LV ( 2020 ),-0.01
408,NYJ ( 2022 ),-0.01
409,CAR ( 2004 ),-0.011
410,GB ( 2007 ),-0.011
411,DAL ( 2008 ),-0.011
412,IND ( 2013 ),-0.011
413,NO ( 2022 ),-0.011
414,LV ( 2022 ),-0.011
415,TB ( 2023 ),-0.011
416,CHI ( 2023 ),-0.011
417,LAC ( 2001 ),-0.012
418,TEN ( 2002 ),-0.012
419,PHI ( 2010 ),-0.012
420,LV ( 2010 ),-0.012
421,WAS ( 2012 ),-0.012
422,NYG ( 2023 ),-0.012
423,LAC ( 1999 ),-0.013
424,DEN ( 2014 ),-0.013
425,LAC ( 2016 ),-0.013
426,SEA ( 2017 ),-0.013
427,NE ( 2008 ),-0.014
428,GB ( 2008 ),-0.014
429,CHI ( 2002 ),-0.015
430,WAS ( 2002 ),-0.015
431,SF ( 2003 ),-0.015
