Rank,Team,ADJ EPA Per Play
1,NE ( 2007 ),0.241
2,LA ( 1999 ),0.236
3,SEA ( 2025 ),0.212
4,BAL ( 2019 ),0.196
5,SEA ( 2013 ),0.19
6,NE ( 2004 ),0.186
7,NE ( 2010 ),0.181
8,SF ( 2019 ),0.179
9,BAL ( 2023 ),0.179
10,TB ( 2002 ),0.176
11,MIN ( 2009 ),0.175
12,DET ( 2024 ),0.172
13,GB ( 2010 ),0.171
14,NE ( 2016 ),0.168
15,BUF ( 2021 ),0.167
16,LA ( 2001 ),0.165
17,PHI ( 2017 ),0.165
18,KC ( 2019 ),0.165
19,NE ( 2019 ),0.165
20,IND ( 2005 ),0.164
21,PHI ( 2002 ),0.163
22,NO ( 2011 ),0.161
23,NO ( 2009 ),0.16
24,BAL ( 2000 ),0.157
25,CAR ( 2015 ),0.157
26,TB ( 2020 ),0.157
27,NE ( 2014 ),0.156
28,PHI ( 2024 ),0.156
29,SEA ( 2012 ),0.153
30,IND ( 2007 ),0.152
31,SF ( 2011 ),0.152
32,SF ( 2023 ),0.151
33,BAL ( 2024 ),0.15
34,SF ( 2013 ),0.148
35,LA ( 2025 ),0.148
36,ATL ( 2016 ),0.146
37,BAL ( 2008 ),0.142
38,LAC ( 2006 ),0.14
39,BUF ( 2024 ),0.14
40,SF ( 2022 ),0.139
41,IND ( 2004 ),0.138
42,KC ( 2018 ),0.138
43,ARI ( 2015 ),0.137
44,NE ( 2011 ),0.135
45,SF ( 2012 ),0.135
46,DEN ( 2013 ),0.133
47,PHI ( 2022 ),0.132
48,PIT ( 2005 ),0.131
49,NO ( 2018 ),0.131
50,SEA ( 2015 ),0.13
51,SEA ( 2005 ),0.129
52,SEA ( 2014 ),0.129
53,NE ( 2017 ),0.129
54,JAX ( 2007 ),0.128
55,DAL ( 2023 ),0.128
56,BAL ( 2020 ),0.127
57,BUF ( 2020 ),0.126
58,NE ( 2012 ),0.125
59,HOU ( 2025 ),0.125
60,GB ( 2014 ),0.124
61,BAL ( 2006 ),0.123
62,LAC ( 2010 ),0.123
63,LV ( 2000 ),0.122
64,NE ( 2021 ),0.122
65,BUF ( 2022 ),0.122
66,GB ( 2024 ),0.122
67,GB ( 2009 ),0.121
68,KC ( 2021 ),0.121
69,KC ( 2022 ),0.121
70,PHI ( 2001 ),0.12
71,IND ( 2009 ),0.12
72,GB ( 2020 ),0.12
73,CIN ( 2022 ),0.12
74,LA ( 2018 ),0.118
75,NE ( 2025 ),0.118
76,LA ( 2021 ),0.117
77,NE ( 2018 ),0.116
78,DAL ( 2021 ),0.116
79,KC ( 2023 ),0.116
80,LAC ( 2009 ),0.115
81,CHI ( 2006 ),0.114
82,PHI ( 2008 ),0.114
83,TB ( 2021 ),0.114
84,LV ( 2002 ),0.113
85,IND ( 2003 ),0.113
86,PHI ( 2004 ),0.113
87,NE ( 2006 ),0.113
88,GB ( 2011 ),0.113
89,JAX ( 1999 ),0.112
90,CAR ( 2005 ),0.112
91,DEN ( 2005 ),0.112
92,BAL ( 2009 ),0.112
93,NYG ( 2008 ),0.111
94,KC ( 2015 ),0.111
95,TEN ( 2008 ),0.109
96,NO ( 2020 ),0.109
97,DEN ( 2012 ),0.108
98,CIN ( 2015 ),0.108
99,BUF ( 2023 ),0.108
100,TEN ( 2000 ),0.107
101,PIT ( 2001 ),0.107
102,JAX ( 2017 ),0.107
103,NO ( 2017 ),0.107
104,PHI ( 2000 ),0.106
105,DAL ( 2009 ),0.106
106,NE ( 2009 ),0.106
107,GB ( 2003 ),0.105
108,DAL ( 2007 ),0.105
109,GB ( 2007 ),0.104
110,NE ( 2015 ),0.102
111,TEN ( 2019 ),0.102
112,IND ( 2006 ),0.101
113,ATL ( 2012 ),0.1
114,BAL ( 2012 ),0.1
115,LAC ( 2018 ),0.1
116,SEA ( 2020 ),0.1
117,BAL ( 2011 ),0.099
118,ATL ( 2002 ),0.098
119,KC ( 2003 ),0.098
120,LA ( 2017 ),0.098
121,DAL ( 2022 ),0.098
122,JAX ( 2025 ),0.098
123,LAC ( 2004 ),0.097
124,PIT ( 2007 ),0.097
125,CHI ( 2018 ),0.097
126,DAL ( 2016 ),0.096
127,KC ( 2020 ),0.096
128,IND ( 2025 ),0.096
129,LA ( 2003 ),0.095
130,CAR ( 2013 ),0.095
131,NYG ( 2012 ),0.094
132,CHI ( 2012 ),0.094
133,BAL ( 2018 ),0.094
134,JAX ( 2001 ),0.093
135,TEN ( 2003 ),0.093
136,NYJ ( 2004 ),0.093
137,KC ( 2013 ),0.093
138,NO ( 2013 ),0.093
139,ATL ( 2017 ),0.093
140,TEN ( 1999 ),0.092
141,SF ( 2001 ),0.091
142,BAL ( 2014 ),0.091
143,BUF ( 2025 ),0.091
144,MIN ( 2007 ),0.09
145,DEN ( 2015 ),0.09
146,DAL ( 2014 ),0.089
147,LAC ( 2017 ),0.089
148,IND ( 2000 ),0.088
149,GB ( 2001 ),0.088
150,BAL ( 2003 ),0.088
151,LAC ( 2007 ),0.088
152,LAC ( 2008 ),0.088
153,PIT ( 2004 ),0.087
154,NYG ( 2005 ),0.087
155,DAL ( 2019 ),0.087
156,JAX ( 2006 ),0.086
157,NYJ ( 2009 ),0.086
158,DET ( 2011 ),0.086
159,NE ( 2003 ),0.085
160,PIT ( 2010 ),0.085
161,BAL ( 2010 ),0.084
162,MIN ( 2017 ),0.084
163,MIN ( 2024 ),0.084
164,CHI ( 2001 ),0.083
165,LAC ( 2005 ),0.083
166,NE ( 2001 ),0.082
167,DEN ( 2014 ),0.082
168,PIT ( 2015 ),0.082
169,MIA ( 2023 ),0.081
170,DEN ( 2024 ),0.081
171,KC ( 1999 ),0.08
172,KC ( 2005 ),0.079
173,PIT ( 2008 ),0.079
174,NO ( 2008 ),0.077
175,NYJ ( 2015 ),0.077
176,PIT ( 2020 ),0.077
177,DET ( 2023 ),0.077
178,BUF ( 1999 ),0.076
179,LA ( 2000 ),0.076
180,KC ( 2002 ),0.076
181,BUF ( 2004 ),0.076
182,IND ( 2020 ),0.076
183,ARI ( 2021 ),0.076
184,WAS ( 2024 ),0.076
185,TB ( 2000 ),0.075
186,NYJ ( 2008 ),0.075
187,HOU ( 2011 ),0.075
188,ARI ( 2013 ),0.075
189,PHI ( 2014 ),0.075
190,GB ( 2012 ),0.074
191,CIN ( 2013 ),0.074
192,IND ( 2014 ),0.074
193,KC ( 2016 ),0.074
194,SEA ( 2018 ),0.073
195,MIN ( 2019 ),0.073
196,NE ( 2013 ),0.072
197,PIT ( 2011 ),0.07
198,PHI ( 2013 ),0.07
199,NO ( 2002 ),0.069
200,GB ( 2015 ),0.069
201,PIT ( 2017 ),0.069
202,NO ( 2019 ),0.069
203,CIN ( 2021 ),0.069
204,GB ( 2021 ),0.069
205,LV ( 2001 ),0.068
206,DEN ( 2003 ),0.068
207,HOU ( 2012 ),0.067
208,ATL ( 2010 ),0.065
209,KC ( 2024 ),0.065
210,LAC ( 2024 ),0.065
211,SF ( 2025 ),0.065
212,MIN ( 1999 ),0.064
213,NYJ ( 2010 ),0.064
214,SEA ( 2016 ),0.064
215,IND ( 2018 ),0.064
216,LA ( 2020 ),0.064
217,BAL ( 2004 ),0.063
218,IND ( 2008 ),0.063
219,DEN ( 2025 ),0.063
220,WAS ( 2005 ),0.062
