Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Lamar Jackson,QB,['BAL'],19,212.8583,11.2031,0.313,0.1391,194.9608,0.557,0.3749,17.8976,0.1119,0.0,0.0,0.0
Josh Allen,QB,['BUF'],19,204.7594,10.7768,0.2942,0.1282,143.2915,0.3926,0.2536,61.468,0.4692,0.0,0.0,0.0
Jared Goff,QB,['DET'],18,164.5378,9.141,0.2671,0.1112,164.4612,0.3982,0.284,-1.7133,-0.0476,1.7898220740086719,1.7898220740086719,1.7898220740086719
Jayden Daniels,QB,['WAS'],20,161.5778,8.0789,0.20800000000000002,0.0958,100.6893,0.248,0.1695,60.8885,0.3327,0.0,0.0,0.0
Joe Burrow,QB,['CIN'],17,141.9776,8.3516,0.2046,0.1014,124.662,0.271,0.1912,17.3156,0.4123,0.0,0.0,0.0
Baker Mayfield,QB,['TB'],18,126.9376,7.0521,0.1938,0.0869,129.3908,0.3066,0.2201,-2.4532,-0.0366,0.0,0.0,0.0
Jalen Hurts,QB,['PHI'],19,113.7095,5.9847,0.1788,0.065,62.4052,0.1994,0.1381,51.3044,0.2788,0.0,0.0,0.0
Patrick Mahomes,QB,['KC'],19,105.6831,5.5623,0.1419,0.0663,80.9858,0.1812,0.122,25.1345,0.3142,-0.4371315160905786,-0.4371315160905786,-0.4371315160905786
Brock Purdy,QB,['SF'],15,102.2252,6.815,0.1962,0.0769,84.1501,0.2805,0.1849,18.0752,0.2739,0.0,0.0,0.0
Kyler Murray,QB,['ARI'],17,88.9525,5.2325,0.1437,0.0663,71.6347,0.1926,0.1324,17.3178,0.222,0.0,0.0,0.0
Tua Tagovailoa,QB,['MIA'],11,78.2162,7.1106,0.188,0.0566,78.0687,0.2683,0.1957,0.1475,0.0087,0.0,0.0,0.0
Jordan Love,QB,['GB'],16,76.0249,4.7516,0.1568,0.0536,69.6985,0.242,0.1522,6.3264,0.2343,0.0,0.0,0.0
Bo Nix,QB,['DEN'],18,56.0041,3.1113,0.0816,0.0394,27.7668,0.0714,0.0471,24.3915,0.2541,3.845826481722777,3.845826481722777,3.845826481722777
Matthew Stafford,QB,['LA'],18,51.1655,2.8425,0.0823,0.0343,59.3505,0.1542,0.1009,-8.185,-0.2407,0.0,0.0,0.0
Justin Herbert,QB,['LAC'],18,48.9738,2.7208,0.0809,0.0351,44.1953,0.1277,0.0825,4.7785,0.0693,0.0,0.0,0.0
Derek Carr,QB,['NO'],10,43.0308,4.3031,0.1454,0.032,44.6027,0.23600000000000002,0.1599,-1.5719,-0.0925,0.0,0.0,0.0
Sam Darnold,QB,['MIN'],18,24.8543,1.3808,0.0379,0.017,23.9625,0.0621,0.040999999999999995,0.8918,0.0126,0.0,0.0,0.0
Geno Smith,QB,['SEA'],17,24.0396,1.4141,0.0381,0.0175,23.4459,0.0576,0.0406,0.5937,0.0112,0.0,0.0,0.0
Trevor Lawrence,QB,['JAX'],10,19.7423,1.9742,0.0637,0.0154,10.237,0.0595,0.036000000000000004,9.5054,0.3656,0.0,0.0,0.0
Malik Willis,QB,['GB'],6,18.4759,3.0793,0.2497,0.013000000000000001,15.1766,0.3794,0.281,3.2992,0.165,0.0,0.0,0.0
Kirk Cousins,QB,['ATL'],14,17.9085,1.2792,0.0376,0.0128,34.6778,0.1144,0.0766,-16.7692,-0.7291,0.0,0.0,0.0
Marcus Mariota,QB,['WAS'],5,16.609,3.3218,0.2595,0.0099,18.8434,0.5542,0.4283,-2.2344,-0.1117,0.0,0.0,0.0
Aaron Rodgers,QB,['NYJ'],17,13.0951,0.7703,0.0216,0.01,9.094,0.0247,0.0156,4.001,0.1819,0.0,0.0,0.0
Justin Fields,QB,['PIT'],11,12.8824,1.1711,0.0575,0.0089,9.6292,0.0908,0.0594,3.2532,0.0525,0.0,0.0,0.0
Tyrod Taylor,QB,['NYJ'],2,10.8403,5.4202,0.4336,0.0082,11.478,0.6752,0.5217,-0.6377,-0.2126,0.0,0.0,0.0
Tanner McKee,QB,['PHI'],2,10.5274,5.2637,0.2105,0.006,13.7049,0.4568,0.3046,-3.1775,-0.6355,0.0,0.0,0.0
Michael Penix,QB,['ATL'],5,9.4996,1.8999,0.0848,0.0068,9.0212,0.1479,0.0859,0.4784,0.0683,0.0,0.0,0.0
Joe Milton,QB,['NE'],1,8.0658,8.0658,0.2068,0.006,11.5313,0.5242,0.3976,-3.4656,-0.3466,0.0,0.0,0.0
Nick Mullens,QB,['MIN'],4,4.8303,1.2076,0.9661,0.0033,4.8865,2.4432,2.4432,-0.0562,-0.0187,0.0,0.0,0.0
Jimmy Garoppolo,QB,['LA'],1,3.7493,3.7493,0.0872,0.0025,5.7186,0.2118,0.1395,-1.9692,-0.9846,0.0,0.0,0.0
Joshua Dobbs,QB,['SF'],2,0.6108,0.3054,0.0109,0.0005,4.0325,0.126,0.0858,-3.4217,-0.3802,0.0,0.0,0.0
Jameis Winston,QB,['CLE'],11,0.2952,0.0268,0.0009,0.0002,-17.1337,-0.0947,-0.0579,17.4289,0.6972,0.0,0.0,0.0
Tyson Bagent,QB,['CHI'],4,-0.2638,-0.0659,-0.033,-0.0002,0.3547,0.1774,0.1774,-0.6185,-0.1031,0.0,0.0,0.0
Mac Jones,QB,['JAX'],10,-0.6147,-0.0615,-0.0021,-0.0005,-1.815,-0.0106,-0.0069,1.2003,0.0429,0.0,0.0,0.0
Dak Prescott,QB,['DAL'],8,-0.8018,-0.1002,-0.0027,-0.0006,-5.1927,-0.0281,-0.0182,4.3909,0.3378,0.0,0.0,0.0
Kenny Pickett,QB,['PHI'],7,-3.3924,-0.4846,-0.0595,-0.0019,0.0941,0.0038,0.0022,-3.4866,-0.249,0.0,0.0,0.0
Bryce Young,QB,['CAR'],14,-4.4774,-0.3198,-0.0105,-0.0034,-19.3966,-0.0829,-0.0505,14.9192,0.34700000000000003,0.0,0.0,0.0
Aidan O'Connell,QB,['LV'],9,-4.5447,-0.505,-0.0172,-0.0033,4.2076,0.0273,0.0173,-8.7523,-0.4168,0.0,0.0,0.0
Mason Rudolph,QB,['TEN'],8,-5.0422,-0.6303,-0.0199,-0.0037,-9.8206,-0.0673,-0.0431,4.7784,0.1911,0.0,0.0,0.0
