Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Josh Allen,QB,['BUF'],3,54.4589,18.153,0.6119,0.2533,38.987,0.722,0.5415,15.4719,0.9101,0,0,0
Jayden Daniels,QB,['WAS'],3,36.5516,12.1839,0.3206,0.1549,24.0172,0.3937,0.316,12.5344,0.3299,0,0,0
Derek Carr,QB,['NO'],3,25.5047,8.5016,0.3696,0.1165,26.0407,0.5918,0.4069,-0.536,-0.1072,0,0,0
Lamar Jackson,QB,['BAL'],3,23.152,7.7173,0.1852,0.0887,14.1948,0.2406,0.1577,8.9572,0.2559,0,0,0
Aaron Rodgers,QB,['NYJ'],3,21.918,7.306,0.2382,0.0996,20.8555,0.3596,0.2425,1.0626,0.1771,0,0,0
Malik Willis,QB,['GB'],3,19.8849,6.6283,0.4323,0.0805,11.6707,0.4668,0.3433,8.2142,0.6845,0,0,0
Kyler Murray,QB,['ARI'],3,17.9039,5.968,0.1773,0.0799,9.4889,0.1608,0.1103,8.415,0.561,0,0,0
Brock Purdy,QB,['SF'],3,16.4644,5.4881,0.1524,0.0651,17.1267,0.2482,0.1803,-0.6623,-0.0509,0,0,0
Jalen Hurts,QB,['PHI'],3,15.4309,5.1436,0.1135,0.0593,11.1147,0.1544,0.109,4.3162,0.1269,0,0,0
Andy Dalton,QB,['CAR'],2,13.5663,6.7832,0.3392,0.0587,16.0708,0.6181,0.4229,-2.5045,-1.2522,0,0,0
Geno Smith,QB,['SEA'],3,13.2295,4.4098,0.116,0.0529,7.741,0.1005,0.0752,5.4885,0.499,0,0,0
Justin Fields,QB,['PIT'],3,7.8301,2.61,0.076,0.0321,17.6323,0.3206,0.2351,-9.8023,-0.3501,0,0,0
Sam Darnold,QB,['MIN'],3,7.4217,2.4739,0.0863,0.0348,8.2395,0.1555,0.1056,-0.8178,-0.1022,0,0,0
Jordan Love,QB,['GB'],1,5.2181,5.2181,0.1535,0.0211,5.2181,0.3069,0.1535,0.0,0.0,0,0,0
Aidan O'Connell,QB,['LV'],1,4.7052,4.7052,0.3921,0.0202,4.7052,0.5228,0.3921,0.0,0.0,0,0,0
Joe Burrow,QB,['CIN'],3,4.5515,1.5172,0.0399,0.0211,4.0136,0.055,0.039,0.5379,0.0489,0,0,0
Patrick Mahomes,QB,['KC'],3,3.4108,1.1369,0.0325,0.0146,-1.5048,-0.0235,-0.0164,5.4484,0.454,-0.5328614070611153,-0.5328614070611153,-0.5328614070611153
Baker Mayfield,QB,['TB'],3,2.6685,0.8895,0.0296,0.0126,-2.564,-0.042,-0.0313,5.2325,0.6541,0,0,0
Taysom Hill,QB,['NO'],2,2.6375,1.3188,0.2398,0.012,0.0,0.0,0.0,2.4855,0.3107,0.15202079801083812,0.07601039900541906,0.05067359933694604
Tyrod Taylor,QB,['NYJ'],1,2.3981,2.3981,0.2665,0.0109,1.7407,0.2901,0.2176,0.6574,0.6574,0,0,0
Davis Mills,QB,['HOU'],1,1.6145,1.6145,0.1345,0.0062,1.6145,0.2306,0.1345,0.0,0.0,0,0,0
Bo Nix,QB,['DEN'],3,-0.2356,-0.0785,-0.0018,-0.001,-9.9284,-0.1398,-0.0879,9.6928,0.5385,0,0,0
C.J. Stroud,QB,['HOU'],3,-1.6512,-0.5504,-0.0154,-0.0064,4.3622,0.0651,0.0441,-6.0135,-0.7517,0,0,0
Kirk Cousins,QB,['ATL'],3,-1.8862,-0.6287,-0.021,-0.0088,5.5563,0.0992,0.0661,-7.4424,-1.2404,0,0,0
Dak Prescott,QB,['DAL'],3,-2.6655,-0.8885,-0.021,-0.0101,-6.3487,-0.0858,-0.052,3.6832,0.7366,0,0,0
Tim Boyle,QB,['MIA'],1,-3.6282,-3.6282,-0.2592,-0.0145,-4.0297,-0.5757,-0.31,0.4015,0.4015,0,0,0
Matthew Stafford,QB,['LA'],3,-3.9473,-1.3158,-0.0391,-0.0171,-3.9473,-0.0572,-0.0391,0.0,0.0,0,0,0
Tua Tagovailoa,QB,['MIA'],2,-4.1163,-2.0582,-0.0633,-0.0164,-8.5121,-0.2128,-0.1373,4.3957,1.4652,0,0,0
Justin Herbert,QB,['LAC'],3,-4.2217,-1.4072,-0.0563,-0.0195,-0.0641,-0.0015,-0.001,-4.1575,-0.378,0,0,0
Drake Maye,QB,['NE'],1,-4.9275,-4.9275,-0.4927,-0.0218,-5.9675,-1.4919,-0.7459,1.0401,0.52,0,0,0
Jacoby Brissett,QB,['NE'],3,-6.3336,-2.1112,-0.0812,-0.028,-9.7607,-0.2324,-0.1415,3.4271,0.3808,0,0,0
Daniel Jones,QB,['NYG'],3,-9.3306,-3.1102,-0.0759,-0.0384,-3.8047,-0.0614,-0.0366,-5.5259,-0.2908,0,0,0
Mac Jones,QB,['JAX'],1,-9.4099,-9.4099,-1.1762,-0.0407,-9.4099,-1.882,-1.1762,0.0,0.0,0,0,0
Skylar Thompson,QB,['MIA'],2,-11.8563,-5.9282,-0.3487,-0.0472,-9.2439,-0.4402,-0.2801,-2.6124,-2.6124,0,0,0
Trevor Lawrence,QB,['JAX'],3,-12.3043,-4.1014,-0.1309,-0.0533,-17.7392,-0.3774,-0.1993,5.435,1.087,0,0,0
Anthony Richardson,QB,['IND'],3,-12.8255,-4.2752,-0.1409,-0.0648,-25.6573,-0.7127,-0.3515,12.8318,0.7129,0,0,0
Gardner Minshew,QB,['LV'],3,-16.9605,-5.6535,-0.16,-0.0728,-11.1211,-0.1523,-0.1123,-5.8394,-0.8342,0,0,0
Jared Goff,QB,['DET'],3,-20.6024,-6.8675,-0.184,-0.0799,-21.1707,-0.3024,-0.1997,0.5683,0.0947,0,0,0
Bryce Young,QB,['CAR'],2,-26.2317,-13.1159,-0.43,-0.1136,-29.9067,-0.9647,-0.534,3.675,0.735,0,0,0
Deshaun Watson,QB,['CLE'],3,-41.2415,-13.7472,-0.3172,-0.1562,-41.1633,-0.6144,-0.3549,-0.0781,-0.0056,0,0,0
Will Levis,QB,['TEN'],3,-41.5031,-13.8344,-0.3953,-0.1812,-46.7982,-0.7312,-0.4979,5.2952,0.4814,0,0,0
Caleb Williams,QB,['CHI'],3,-45.5324,-15.1775,-0.353,-0.1705,-47.871,-0.6839,-0.4057,2.3386,0.2126,0,0,0
