Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Austin Ekeler,RB,['WAS'],3,12.137732267885564,4.045910755961855,0.5517151030857075,0.05143106893171849,0.0,0.0,0.0,3.0777269705900716,0.2367482285069286,9.060005297295493,1.0066672552550548,1.0066672552550548
Saquon Barkley,RB,['PHI'],3,11.519364492869514,3.8397881642898377,0.15566708774147991,0.044305248049498126,0.0,0.0,0.0,7.100186395307103,0.11270137135408101,4.419178097562411,0.4419178097562411,0.40174346341476463
James Cook,RB,['BUF'],3,9.895185224912119,3.2983950749707063,0.19790370449824238,0.04602411732517265,0.0,0.0,0.0,2.086145557865371,0.05088159897232612,7.809039667046748,0.9761299583808435,0.8676710741163053
Antonio Gibson,RB,['NE'],3,6.722515857212541,2.240838619070847,0.24898206878564969,0.0297456453858962,0.0,0.0,0.0,6.3636899771213296,0.2766821729183187,0.3588258800912121,0.08970647002280302,0.08970647002280302
Braelon Allen,RB,['NYJ'],3,6.581001008427334,2.193667002809111,0.24374077808990127,0.02991364094739697,0.0,0.0,0.0,3.5514290087868674,0.18691731625194039,3.0295719996404666,0.5049286666067444,0.37869649995505833
Chuba Hubbard,RB,['CAR'],3,6.29020800399545,2.096736001331817,0.13383421285096703,0.02723033767963398,0.0,0.0,0.0,3.6958955831159512,0.09988906981394463,2.5943124208794988,0.28825693565327765,0.2594312420879499
J.K. Dobbins,RB,['LAC'],3,5.543500393496194,1.8478334644987313,0.11313266109175905,0.02566435367359349,0.0,0.0,0.0,9.471498671981575,0.22551187314241844,-3.9279982784853806,-0.5611426112121972,-0.5611426112121972
Emari Demercado,RB,['ARI'],3,5.373982890105362,1.7913276300351206,0.8956638150175603,0.023990995045113223,0.0,0.0,0.0,3.56946042659764,0.89236510664941,1.804522463507722,0.902261231753861,0.902261231753861
Bucky Irving,RB,['TB'],3,4.737457399835603,1.5791524666118677,0.15282120644630978,0.02234649716903586,0.0,0.0,0.0,4.1861034409359075,0.1674441376374363,0.5513539588996954,0.11027079177993908,0.09189232648328256
Emanuel Wilson,RB,['GB'],3,4.244407188692435,1.4148023962308116,0.16324643033432443,0.01718383477203415,0.0,0.0,0.0,2.39877471833198,0.1142273675396181,1.8456324703604552,0.4614081175901138,0.369126494072091
Hunter Luepke,RB,['DAL'],2,3.924061010008629,1.9620305050043145,0.7848122020017259,0.014920384068473874,0.0,0.0,0.0,0.0,0.0,3.924061010008629,0.9810152525021573,0.7848122020017259
Ty Johnson,RB,['BUF'],3,3.8279826553776335,1.2759942184592112,0.3189985546148028,0.017804570490128527,0.0,0.0,0.0,-0.8532634915152784,-0.14221058191921307,4.681246146892912,1.170311536723228,0.7802076911488186
