Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Hunter Henry,TE,['NE'],3,12.409572521708327,4.136524173902775,0.6894206956504626,0.05490961292791295,0.0,0.0,0.0,0.0,0.0,12.409572521708327,1.0341310434756938,0.6894206956504626
Dallas Goedert,TE,['PHI'],3,11.667245372944322,3.889081790981441,0.5833622686472161,0.04487402066517047,0.0,0.0,0.0,0.0,0.0,11.667245372944322,0.686308551349666,0.5833622686472161
Zach Ertz,TE,['WAS'],3,11.039869448066487,3.6799564826888287,0.8492207267743451,0.046779107830790194,0.0,0.0,0.0,0.0,0.0,11.039869448066487,0.9199891206722072,0.8492207267743451
George Kittle,TE,['SF'],2,9.954498713768597,4.977249356884299,0.7657306702898921,0.039345844718452955,0.0,0.0,0.0,0.0,0.0,9.954498713768597,0.9049544285244179,0.7657306702898921
Brock Bowers,TE,['LV'],3,9.216122270923277,3.0720407569744257,0.4388629652820608,0.03955417283658059,0.0,0.0,0.0,0.0,0.0,9.216122270923277,0.5120067928290709,0.4388629652820608
Tyler Conklin,TE,['NYJ'],3,8.417010494339175,2.805670164779725,0.8417010494339175,0.03825913861063261,0.0,0.0,0.0,0.0,0.0,8.417010494339175,1.2024300706198823,0.8417010494339175
Pat Freiermuth,TE,['PIT'],3,7.400953849795494,2.466984616598498,0.569304142291961,0.03033177807293235,0.0,0.0,0.0,0.0,0.0,7.400953849795494,0.6167461541496245,0.569304142291961
Mike Gesicki,TE,['CIN'],3,6.935068007090331,2.311689335696777,0.38528155594946284,0.0321067963291219,0.0,0.0,0.0,0.0,0.0,6.935068007090331,0.49536200050645224,0.38528155594946284
Cole Kmet,TE,['CHI'],3,6.8770143219654605,2.2923381073218203,0.4045302542332624,0.025756607947436182,0.0,0.0,0.0,0.0,0.0,6.8770143219654605,0.45846762146436404,0.4045302542332624
Isaiah Likely,TE,['BAL'],3,6.586175268346018,2.1953917561153395,0.41163595427162614,0.02523438800132574,0.0,0.0,0.0,0.0,0.0,6.586175268346018,0.5488479390288349,0.41163595427162614
Dalton Kincaid,TE,['BUF'],3,5.88993598693574,1.9633119956452465,0.5354487260850672,0.027395051102026696,0.0,0.0,0.0,0.0,0.0,5.88993598693574,0.7362419983669675,0.5354487260850672
Brenton Strange,TE,['JAX'],2,4.908894422020752,2.454447211010376,0.4462631292746138,0.021250625203553038,0.0,0.0,0.0,0.0,0.0,4.908894422020752,0.9817788844041504,0.4462631292746138
Will Dissly,TE,['LAC'],3,4.566362031473437,1.5221206771578124,0.6523374330676338,0.02114056496052517,0.0,0.0,0.0,0.0,0.0,4.566362031473437,0.6523374330676338,0.6523374330676338
Tucker Kraft,TE,['GB'],3,4.160874694191811,1.3869582313972704,0.5201093367739764,0.01684564653518952,0.0,0.0,0.0,0.0,0.0,4.160874694191811,0.6934791156986352,0.5201093367739764
Sam LaPorta,TE,['DET'],3,3.448247324265433,1.1494157747551443,0.3448247324265433,0.013365299706455168,0.0,0.0,0.0,0.0,0.0,3.448247324265433,0.4310309155331791,0.3448247324265433
Trey McBride,TE,['ARI'],3,2.8831733126402987,0.9610577708800996,0.13729396726858564,0.012871309431429905,0.0,0.0,0.0,0.0,0.0,2.8831733126402987,0.20594095090287848,0.13729396726858564
Colby Parkinson,TE,['LA'],3,2.759621629830423,0.919873876610141,0.22996846915253524,0.011946413981949884,0.0,0.0,0.0,0.0,0.0,2.759621629830423,0.3449527037288029,0.22996846915253524
Josh Whyle,TE,['TEN'],2,2.729982506925254,1.364991253462627,0.389997500989322,0.011921320990939973,0.0,0.0,0.0,0.0,0.0,2.729982506925254,0.45499708448754234,0.389997500989322
Julian Hill,TE,['MIA'],3,2.1936203808262977,0.731206793608766,0.43872407616525955,0.008739523429586844,0.0,0.0,0.0,0.0,0.0,2.1936203808262977,0.731206793608766,0.43872407616525955
