Player,POS,TM,GP,Total EPA,EPA per Game,EPA per Play ( all plays contributed ),EPA per Play ( all offense ),Total Passing EPA,EPA per Completion,EPA per Attempt,Rushing EPA,EPA per Carry,Receiving EPA,EPA per Reception,EPA per Target
Khalil Shakir,WR,['BUF'],3,20.82455102919697,6.9415170097323236,1.3883034019464648,0.09685837687998591,0.0,0.0,0.0,-0.3179356989303652,-0.3179356989303652,21.142486728127338,1.510177623437667,1.510177623437667
Chris Godwin,WR,['TB'],3,19.739818062140927,6.579939354046975,0.789592722485637,0.09311234934972135,0.0,0.0,0.0,0.0,0.0,19.739818062140927,0.939991336292425,0.789592722485637
Jauan Jennings,WR,['SF'],3,17.570092538166204,5.856697512722068,0.8366710732460098,0.06944700607970831,0.0,0.0,0.0,0.0,0.0,17.570092538166204,0.9761162521203447,0.8366710732460098
Rashee Rice,WR,['KC'],3,17.032068696746844,5.677356232248948,0.5677356232248948,0.07309900728217529,0.0,0.0,0.0,2.340953110579913,2.340953110579913,14.69111558616693,0.6121298160902887,0.5065901926264459
Nico Collins,WR,['HOU'],3,16.753850863479062,5.584616954493021,0.5983518165528237,0.06468668287057552,0.0,0.0,0.0,0.0,0.0,16.753850863479062,0.9307694924155034,0.5983518165528237
Malik Nabers,WR,['NYG'],3,16.07914287942776,5.359714293142587,0.401978571985694,0.06616931226101959,-0.9902648965502271,0.0,-0.9902648965502271,1.7604196912657695,0.8802098456328847,15.308988084712219,0.6656081775961834,0.41375643472195184
Chris Olave,WR,['NO'],3,16.054998277088,5.351666092362667,1.0703332184725334,0.07331049441592694,0.0,0.0,0.0,0.7329524205822705,0.7329524205822705,15.32204585650573,1.2768371547088109,1.0944318468932663
Justin Jefferson,WR,['MIN'],3,16.025875703719134,5.341958567906378,0.7631369382723397,0.07523885306910391,0.0,0.0,0.0,0.0,0.0,16.025875703719134,1.1447054074085095,0.7631369382723397
Josh Reynolds,WR,['DEN'],3,15.849832107162813,5.283277369054271,1.0566554738108542,0.06469319227413393,0.0,0.0,0.0,0.0,0.0,15.849832107162813,1.440893827923892,1.0566554738108542
Stefon Diggs,WR,['HOU'],3,15.426831701160786,5.142277233720262,0.5933396808138764,0.059563056761238554,3.00251161815157,3.00251161815157,3.00251161815157,0.35231476835160974,0.35231476835160974,12.072005314657606,0.6036002657328803,0.5030002214440669
Jaylen Waddle,WR,['MIA'],3,13.737086695290483,4.579028898430161,0.8585679184556552,0.05472942906490232,0.0,0.0,0.0,-0.3814987975285782,-0.1907493987642891,14.118585492819061,1.0860450379091586,1.0084703923442186
Jayden Reed,WR,['GB'],3,13.686587347132173,4.562195782377391,0.7203467024806407,0.05541128480620313,0.0,0.0,0.0,7.161990618633403,1.4323981237266805,6.5245967284987705,0.652459672849877,0.4660426234641979
DK Metcalf,WR,['SEA'],3,13.187778921474777,4.395926307158259,0.5494907883947824,0.05275111568589911,0.0,0.0,0.0,0.0,0.0,13.187778921474777,0.7757517012632222,0.5494907883947824
Jaxon Smith-Njigba,WR,['SEA'],3,11.82292687005901,3.9409756233530033,0.5629965176218577,0.04729170748023604,0.0,0.0,0.0,0.0,0.0,11.82292687005901,0.6954662864740594,0.5629965176218577
Alec Pierce,WR,['IND'],3,11.72020609237908,3.90673536412636,0.97668384103159,0.0591929600625206,0.0,0.0,0.0,0.0,0.0,11.72020609237908,1.3022451213754533,0.97668384103159
DeVonta Smith,WR,['PHI'],3,11.62263816369278,3.874212721230927,0.415094220131885,0.04470245447574146,0.0,0.0,0.0,0.0,0.0,11.62263816369278,0.5534589601758467,0.415094220131885
George Pickens,WR,['PIT'],3,11.443769223432973,3.8145897411443244,0.6023036433385776,0.04690069353865973,0.0,0.0,0.0,-1.759104269926857,-1.759104269926857,13.20287349335983,1.0156056533353714,0.7334929718533238
Allen Lazard,WR,['NYJ'],3,11.116459873725576,3.705486624575192,0.6947787421078485,0.050529363062388984,0.0,0.0,0.0,0.0,0.0,11.116459873725576,1.0105872612477798,0.6947787421078485
Quentin Johnston,WR,['LAC'],3,11.020473856041331,3.6734912853471102,0.8477287581570254,0.05102071229648764,0.0,0.0,0.0,0.0,0.0,11.020473856041331,1.102047385604133,0.8477287581570254
Romeo Doubs,WR,['GB'],3,10.571437505468275,3.5238125018227584,0.8809531254556896,0.04279934212740192,0.0,0.0,0.0,0.0,0.0,10.571437505468275,1.3214296881835343,0.8809531254556896
Jakobi Meyers,WR,['LV'],3,10.320419930939371,3.4401399769797902,0.5733566628299651,0.04429364777227198,0.0,0.0,0.0,-0.16549874881682963,-0.16549874881682963,10.485918679756201,0.7489941914111572,0.6168187458680119
Ja'Marr Chase,WR,['CIN'],3,9.8813854734539,3.2937951578179665,0.5489658596363278,0.04574715496969398,0.0,0.0,0.0,0.0,0.0,9.8813854734539,0.6175865920908687,0.5489658596363278
Jalen Nailor,WR,['MIN'],3,9.649033614224058,3.216344538074686,0.9649033614224057,0.04530062729682656,0.0,0.0,0.0,1.8526083986691781,1.8526083986691781,7.796425215554879,1.113775030793554,0.8662694683949865
Tutu Atwell,WR,['LA'],2,8.932510234041706,4.466255117020853,0.8932510234041706,0.038668875472042015,-0.6948288813440154,0.0,-0.6948288813440154,0.0,0.0,9.627339115385722,1.3753341593408173,1.069704346153969
Jalen Tolbert,WR,['DAL'],3,7.893290244982049,2.6310967483273497,0.4933306403113781,0.030012510437194103,0.0,0.0,0.0,0.0,0.0,7.893290244982049,0.789329024498205,0.4933306403113781
